config,model,subject,use_features,feature_method,n_test,accuracy,macro_f1
IMU+Pressure,lstm,Tianjun_Dynamic,False,concat,486,0.5679,0.5405
IMU+Pressure,lstm,Zongwei_Dynamic,False,concat,681,0.8987,0.9014
IMU+Pressure,gru,Andy_Dynamic,False,concat,424,0.7288,0.7038
IMU+Pressure,gru,Ankan_Dynamic,False,concat,528,0.5909,0.5892
IMU+Pressure,gru,David_Dynamic,False,concat,507,0.9014,0.9005
IMU+Pressure,gru,Hrithik_Dynamic,False,concat,481,0.8233,0.8147
IMU+Pressure,gru,JJ_Dynamic,False,concat,480,0.7188,0.6995
IMU+Pressure,gru,Mustafa_Dynamic,False,concat,563,0.7052,0.6725
IMU+Pressure,gru,Rezoan_Dynamic,False,concat,456,0.9386,0.9342
IMU+Pressure,gru,Sudipta_Dynamic,False,concat,560,0.95,0.9501
IMU+Pressure,gru,Tianjun_Dynamic,False,concat,486,0.7737,0.7675
IMU+Pressure,gru,Zongwei_Dynamic,False,concat,681,0.9075,0.9072
IMU+Pressure,cnn,Andy_Dynamic,False,concat,424,0.4835,0.4533
IMU+Pressure,cnn,Ankan_Dynamic,False,concat,528,0.7708,0.7529
IMU+Pressure,cnn,David_Dynamic,False,concat,507,0.7278,0.6546
IMU+Pressure,cnn,Hrithik_Dynamic,False,concat,481,0.8503,0.8364
IMU+Pressure,cnn,JJ_Dynamic,False,concat,480,0.5417,0.4819
IMU+Pressure,cnn,Mustafa_Dynamic,False,concat,563,0.8348,0.8397
IMU+Pressure,cnn,Rezoan_Dynamic,False,concat,456,0.9035,0.8896
IMU+Pressure,cnn,Sudipta_Dynamic,False,concat,560,0.9179,0.9176
IMU+Pressure,cnn,Tianjun_Dynamic,False,concat,486,0.6584,0.6112
IMU+Pressure,cnn,Zongwei_Dynamic,False,concat,681,0.7313,0.6567
